LatinName,CommonName,Family,Shape,HeightLow,HeightHigh,WidthLow,WidthHigh,WhorlsLow,WhorlsHigh,WhorlIncrease,Perforate,Umbilicate,Rimate,Imperforate,LipReflected,teeth,Flattened,Shouldered,ModShouldered,Rounded,Ovate,Slit,Lunate,Truncated,Sutures,Transverse,Spiral,Lirate,Ribs,Papillae,Puncta,Hairs,Blotches,Bands,Operculum,Eyes,Pedal,Flavor,SnailID,Notes,Pilsbry,Discoverer,HasImages
Cecilioides acicula,Blind Awlsnail,Ferussaciidae,Fusiform,,,,,,,,,,,,,,,,,,n,n,,n,,n,n,n,n,n,n,n,n,n,n,i,,Sn,64,,,,n
Haplotrema concavum,Gray-foot Lancetooth,Haplotrematidae,Depressed Heliciform,5.3,9.6,11,22,4,5.5,,n,y,n,n,n,n,n,n,n,y,n,n,y,n,,y,n,n,n,n,n,n,n,n,n,i,n,Sn,65,Irregularly striate. Sometimes has fine spiral lines. Glossy.,,Say\123 1821,n
Euconulus dentatus,Toothed Hive,Helicarionidae,Beehive,2.3,2.45,2.4,2.5,6.5,6.5,,y,n,n,n,n,n,n,n,n,y,n,n,y,n,,n,y,n,n,n,n,n,n,n,n,i,y,Sn,66,Teeth can be seen through botom of shell. But none in aperture.,,Sterki\123 1893,n
Euconulus fulvus,Brown Hive,Helicarionidae,Beehive,2,2.5,2.8,3.5,5.5,6,,y,n,n,n,n,n,n,n,n,y,n,n,y,n,,y,y,n,n,n,n,n,n,n,n,i,y,Sn,67,Sometimes shell has no visible shell navel (umbilicus) and the apertural whorl shows a slight blunt keel.,,Müller\123 1774,n
Euconulus polygyratus,Fat Hive,Helicarionidae,Beehive,2.3,2.8,2.6,3.8,6,7.5,,n,n,n,y,n,n,n,n,y,y,n,n,y,n,,n,n,n,n,n,n,n,n,n,n,i,y,Sn,68,,,Pilsbry\123 1899,n
Guppya sterkii,Sterki\'s Granule,Helicarionidae,Depressed Heliciform,0.6,0.8,1.2,1.3,3.5,4,,n,n,n,y,n,n,n,n,n,y,n,n,n,n,,n,y,n,n,n,n,n,n,n,n,i,y,Sn,69,Spiral striae start at apex. Weak growth wrinkles.,,Dall\123 1888,n
Gastrodonta interna,Brown Bellytooth,Gastrodontidae,Heliciform,,,6.5,7.5,8,9,,y,n,n,n,n,s,n,n,n,y,n,n,y,n,,n,n,n,y,n,n,n,n,n,n,i,y,Sn,70,Ribs are on upper half of whorls.,,Say\123 1822,n
Striatura exigua,Ribbed Striate,Gastrodontidae,Depressed Heliciform,1.2,1.3,2.2,2.4,3.5,3.5,,n,y,n,n,n,n,n,n,n,y,n,n,y,n,,n,y,n,y,n,n,n,n,n,n,i,y,Sn,71,Ribs start after first 1.5 whorls. Umbilicus 1/3 width of body.,,Stimpson\123 1850,n
Striatura ferrea,Black Striate,Gastrodontidae,Depressed Heliciform,,,2.5,3.4,3.5,4,,n,y,n,n,n,n,n,n,n,y,n,n,y,n,,y,y,n,n,n,n,n,n,n,n,i,y,Sn,72,,,Morse\123 1864,n
Striatura meridionalis,Median Striate,Gastrodontidae,Depressed Heliciform,,,1.7,1.8,3,3.5,,n,y,n,n,n,n,n,n,n,y,n,n,y,n,,y,y,n,n,n,n,n,n,n,n,i,y,Sn,73,,,Pilsbry & Ferris\123 1902,n
Striatura milium,Fine-ribbed Striate,Gastrodontidae,Depressed Heliciform,0.8,0.8,1.5,1.5,3,3.5,,n,y,n,n,n,n,n,n,n,y,n,n,y,n,,n,y,n,y,n,n,n,n,n,n,i,y,Sn,74,,,Morse\123 1859,n
Ventridens demissus,Perforate Dome,Gastrodontidae,Heliciform,5,7,7.5,10,6,7,,y,n,n,n,n,n,n,n,n,y,n,n,y,n,,n,n,n,n,n,n,n,n,n,n,i,y,Sn,75,very young shells may have basal lamina,,Binney\123 1843,n
Ventridens gularis,Throaty Dome,Gastrodontidae,Heliciform,5,6.5,7.5,8,6.5,8,,y,n,y,n,n,y,n,n,n,y,n,n,y,n,,y,n,n,n,n,n,n,n,n,n,i,y,Sn,76,,,Say\123 1822,n
Ventridens intertextus,Pyramid Dome,Gastrodontidae,Heliciform,10,13.5,13.4,18.5,6,7,,y,n,y,n,n,n,n,n,n,y,n,n,y,n,,y,y,n,n,n,n,n,n,y,n,i,y,Sn,77,,,Binney\123 1841,n
Ventridens ligera,Globose Dome,Gastrodontidae,Heliciform,8,12.7,11,15.6,6,7,,y,n,n,n,n,n,n,n,n,y,n,n,y,n,,n,y,n,n,n,n,n,n,n,n,i,y,Sn,78,,,Say\123 1821,n
Ventridens suppressus,Flat Dome,Gastrodontidae,Heliciform,3.5,4.1,5.75,7,5.5,6,,y,n,n,n,n,y,n,n,n,y,n,n,y,n,,y,n,n,n,n,n,n,n,n,n,i,y,Sn,79,Umbilicus contained 8 times in diameter.,,Say\123 1829,n
Ventridens virginicus,Split-tooth Dome,Gastrodontidae,Heliciform,3.4,3.8,5.7,6,6,6.5,,y,n,n,n,n,y,n,n,n,y,n,n,y,n,,n,n,n,n,n,n,n,n,n,n,i,y,Sn,80,,,Vanatta\123 1936,n
Zonitoides arboreus,Quick Gloss,Gastrodontidae,Depressed Heliciform,2.5,3,5,6,4.5,5,,n,y,n,n,n,n,n,n,n,y,n,n,y,n,,n,y,n,n,n,n,n,n,n,n,i,y,Sn,81,Spiral striae is extremely faint.,,Say\123 1816,n
Zonitoides nitidus,Black Gloss,Gastrodontidae,Depressed Heliciform,3.6,4,6,7,4.5,5,,n,y,n,n,n,n,n,n,n,y,n,n,y,n,,n,n,n,n,n,n,n,n,n,n,i,y,Sn,82,Animal is black.,,Müller\123 1774,n
