species,common,family,author,status,states,native,shape,pupa,height,width,whorls,whorl_method,perforate,imperforate,umbilicate,rimate,lip_reflected,deflected,teeth,parietal,palatal,columellar,basal,ovate,lunate,slit,flattened,shouldered,moderately_shouldered,rounded,spiral_striae,lirate,axial_striae,axial_ridges,lamellar_ribs,wrinkles,malleations,papillae,puncta,hairs,blotches,bands,operculum,pedal,shell_color,notes
Vertigo pygmaea,Crested Vertigo,Pupillidae,"(Draparnaud, 1801) ",G5,"WI,WV,NS,ON,DE,IA,IN,MA,MD,ME,MI,MN,MO,NJ,NY,OH,PA,TN,VA",y,Pupa,,"1.8,2",",","4.5,5",,,,,,y,,y,,,,,y,n,n,n,n,n,y,n,n,n,n,,,,n,n,n,n,n,n,n,,Weak striation.
Vertigo tridentata,Honey Vertigo,Pupillidae,"Wolf, 1870 ",G5,"NJ,NY,OH,OK,PA,SD,TN,TX,VA,WI,WV,ON,AR,DE,IA,IL,IN,KS,KY,LA,MA,MD,ME,MI,MO,MS,NE",y,Pupa,,"1.8,2.2","1,1.1","4.5,4.5",,,,,,y,,y,,,,,y,n,n,n,n,n,y,n,n,n,n,,,,n,n,n,n,n,n,n,,Shell is honey yellow. Mostly with 3 teeth.
Vertigo ventricosa,Five-Tooth Vertigo,Pupillidae,"(E.S. Morse, 1865) ",G5,"TN,VA,VT,WI,WV,NB,NS,ON,QC,IA,IL,IN,KY,MA,MD,ME,MI,MO,MS,NC,NY,OH,OK,PA",y,Pupa,,"1.7,2","1,1.2","4,4.5",,n,n,y,n,y,,y,,,,,y,n,n,n,n,n,y,n,n,n,n,,,,y,y,n,n,n,n,n,,Granules or puncta only seen under high magnification. Five teeth.
Columella columella,Mellow Column,Pupillidae,"(Martens, 1830) ",G5,"OH,SE,TX,UT,WA,WI,WY,AB,BC,ON,AK,AZ,CO,IA,IL,ID,IN,KS,KY,MI,MO,MS,MT,NE,NM",y,Pupa,,",",",",",",,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Columella edentula,Toothless Column,Pupillidae,"(Draparnaud, 1805) ",G5,"AB,BC,LB,MB,NB,NF,NS,ON,QC,YT,AK,AL,AR,CT,GA,IA,ID,IL,IN,KY,MA,MD,ME,MI,MO,MS,MT,NJ,NY,OH,OK,OR,PA,TN,WA,WI,WV,WY",y,Pupa,,",",",",",",,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Columella simplex,High-Spire Column,Pupillidae,"(Gould, 1840) ",G5Q,"NC,NM,NY,OH,OK,PA,SD,TN,TX,VA,WI,WV,ON,AL,AR,CT,GA,IA,IL,IN,KY,MA,MD,ME,MI,MN,MO,MS",y,Pupa,,"1.8,2.1",",","5.5,5.5",,y,n,n,n,n,,n,,,,,y,n,n,n,n,n,y,n,n,y,n,,,,n,n,n,n,n,n,n,,Transverse striae under magnification.
Strobilops aeneus,Bronze Pinecone,Strobilopsidae,"Pilsbry, 1926 ",G5,"NS,AL,AR,DE,FL,GA,HI,IA,IL,IN,KY,LA,MA,MD,MI,MO,MS,NC,NJ,NY,OH,OK,PA,SC,TN,TX,VA,WI,WV",y,Beehive,,"1.5,2","2.4,2.8","5.5,5.5",,n,n,y,n,y,,y,,,,,,,,n,y,y,n,n,n,n,y,,,,n,n,n,n,n,n,n,,Narrowly umbilicate (diameter is 6 1/2x umbilicus).
Strobilops affinis,Eightfold Pinecone,Strobilopsidae,"Pilsbry, 1893 ",G4G5,"MB,ON,QC,IL,IN,KY,MA,ME,MI,MN,MO,NJ,NY,OH,PA,RI,TN,WI",y,Beehive,,"2.5,2.6","2.75,2.8","6,6",,n,n,y,n,y,,y,,,,,n,y,n,n,y,y,n,n,n,n,y,,,,n,n,n,n,n,n,n,,
Strobilops labyrinthicus,Maze Pinecone,Strobilopsidae,"(Say, 1817) ",G5,"VT,WI,WV,NB,NS,ON,QC,AL,AR,CT,GA,IA,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,NC,NE,NH,NJ,NY,OH,OK,PA,SC,SD,TN,TX,VA",y,Beehive,,"1.7,1.8","2.3,2.5","5.5,5.5",,n,n,y,n,y,,y,,,,,n,y,n,n,n,y,n,n,n,n,y,,,,n,n,n,n,n,n,n,,Narrowly umbilicate (contained 9 to 11 times in diameter).
Novisuccinea chittenangoensis,Chittenango Ambersnail,Succineidae,"(Pilsbry, 1908) ",G1,"AR,IA,IL,MO,NY,VA",y,Succiniform,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
